,Hs,Tp,Dir,P,PPer,Px,Py,Ppar,Hsp,ponto,time
0,1.7138671875,9.570093154907227,98.08203125,13.862311552402062,12.015025094549951,-13.724628268434719,1.9489126376372796,7.3971880757854285,1.6650712628834876,0,2023-01-27 00:00:00
1,1.6904296875,9.481481552124023,98.11328125,13.35669634580353,11.580419696891976,-13.223008771326276,1.885040134169484,7.129618275478825,1.6344232221675956,0,2023-01-27 01:00:00
2,1.662109375,9.481481552124023,99.923828125,12.912907156817566,11.393350768990908,-12.719700872560193,2.225394561236684,7.014447143339664,1.6070412040030315,0,2023-01-27 02:00:00
3,1.6455078125,9.481481552124023,101.255859375,12.656240747498055,11.302338991475091,-12.41280206098159,2.4703794958510548,6.958414698122266,1.5909896761134596,0,2023-01-27 03:00:00
4,1.6337890625,9.481481552124023,101.8466796875,12.476615717019254,11.199232013968258,-12.210869517389805,2.5613678727297944,6.89493570423404,1.5796591858384676,0,2023-01-27 04:00:00
5,1.6181640625,9.481481552124023,102.28515625,12.239112698756626,11.027007791311167,-11.958845976008917,2.6042047874468426,6.78890388522616,1.5645518654718116,0,2023-01-27 05:00:00
6,1.595703125,9.142857551574707,102.498046875,11.466200046885135,10.34905515194396,-11.194489914804805,2.4813583099830976,6.371514563072422,1.51434474588088,0,2023-01-27 06:00:00
7,1.5791015625,7.937984466552734,101.0634765625,9.738773169395886,8.682203364739259,-9.557779906331207,1.8688354949209995,5.345298132612766,1.3956198027683533,0,2023-01-27 07:00:00
8,1.5615234375,7.757575988769531,98.517578125,9.306465753774654,8.101341058453809,-9.203819805507496,1.3784069841408912,4.987683588164001,1.3642921793937437,0,2023-01-27 08:00:00
9,1.5361328125,7.699248313903809,96.3642578125,8.938502616715294,7.610240199628132,-8.883416968900043,0.9908238923668186,4.685331708885687,1.3370491850874666,0,2023-01-27 09:00:00
10,1.5048828125,7.5851850509643555,94.90625,8.451350946142085,7.080358277245471,-8.420384965741155,0.7228069199842072,4.359103822803182,1.3001039147808213,0,2023-01-27 10:00:00
11,1.4755859375,7.529411792755127,93.4345703125,8.06571773680719,6.641947854736195,-8.051230601014902,0.4832063939222128,4.0891914152829765,1.2700958811685983,0,2023-01-27 11:00:00
12,1.4541015625,7.474452495574951,91.3603515625,7.775359194447375,6.23898474556383,-7.773167766890004,0.1845900063914906,3.8411025529881035,1.2470251957717113,0,2023-01-27 12:00:00
13,1.44140625,7.420289993286133,88.810546875,7.584800158237104,5.878681415549072,-7.5831657973966085,-0.157448180643225,3.6192776732664704,1.231649313582166,0,2023-01-27 13:00:00
14,1.4345703125,7.366906642913818,86.22265625,7.458961589432876,5.562442329248571,-7.442757716782121,-0.491391454865887,3.424581450839066,1.221389502937771,0,2023-01-27 14:00:00
15,1.4287109375,7.366906642913818,83.7314453125,7.39815509094597,5.297640810224644,-7.3539217480943755,-0.8077955636139192,3.2615533569683195,1.2164008460163098,0,2023-01-27 15:00:00
16,1.423828125,7.366906642913818,81.34765625,7.347673115593462,5.043615105833451,-7.264051873422748,-1.1053735087464336,3.1051595170321984,1.2122436319150918,0,2023-01-27 16:00:00
17,1.421875,7.314285755157471,79.1162109375,7.275176123718063,4.78407163324197,-7.144311528515367,-1.373681336642456,2.9453685997853825,1.2062484092191015,0,2023-01-27 17:00:00
